0000.000000 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.000272 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.000512 000001F2 8 10 64 00 00 00 1E 03 0F
0000.005090 000001DB 8 00 20 BC AA 00 00 02 A2
0000.005346 000001DC 8 6E 02 0F FD 05 60 C6 F4
0000.006825 000001DA 8 BE 64 18 00 00 01 03 DD
0000.007783 0000054A 8 10 00 70 03 00 00 00 2C
0000.008771 0000054B 8 01 08 80 12 04 00 00 01
0000.009774 0000054C 8 73 66 00 00 00 00 59 00
0000.010563 000001D4 8 F7 07 00 00 07 44 30 70
0000.010798 000001F2 8 10 64 00 00 00 1E 00 0C
0000.011085 0000011A 8 4E 40 00 55 00 00 01 7D
0000.011356 00000284 8 00 00 00 00 00 00 4C D2
0000.011525 0000054F 8 36 01 00 00 07 80 8A 54
0000.015104 000001DB 8 00 40 BC AA 00 00 03 D4
0000.015340 000001DC 8 6E 02 0F FD 08 C0 CF A5
0000.016825 000001DA 8 BE 64 18 00 00 01 00 D7
0000.020511 0000011A 8 4E 40 00 55 40 00 02 B0
0000.020762 000001D4 8 F7 07 00 00 47 44 30 B7
0000.021003 000001F2 8 10 64 00 00 00 1E 01 0D
0000.025114 000001DB 8 00 40 BC AA 00 00 00 DE
0000.025349 000001DC 8 6E 02 0F FD 0C C8 C8 F1
0000.026819 000001DA 8 BE 64 18 00 00 01 01 52
0000.030818 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.031053 000001D4 8 F7 07 00 00 87 44 30 7B
0000.031299 000001F2 8 10 64 00 00 00 1E 02 0E
0000.031550 00000284 8 00 00 00 00 00 00 4D D3
0000.035287 000001DB 8 00 40 BC AA 00 00 01 5B
0000.035528 000001DC 8 6E 02 0F FD 01 09 05 B2
0000.035769 0000055B 8 A2 80 55 00 E0 80 12 A5
0000.036823 000001DA 8 BE 64 18 00 00 01 02 58
0000.040075 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.041324 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.041554 000001F2 8 10 64 00 00 00 1E 03 0F
0000.045435 000001DB 8 00 40 BC AA 00 00 02 51
0000.045691 000001DC 8 6E 02 0F FD 05 60 C6 F4
0000.045927 000005BC 8 17 C0 08 34 64 05 20 78
0000.046172 000005C0 8 C0 60 64 F4 3A D4 00 00
0000.046818 000001DA 8 BE 64 18 00 00 01 03 DD
0000.050827 0000011A 8 4E 40 00 55 00 00 01 7D
0000.051554 000001D4 8 F7 07 00 00 07 44 30 70
0000.051799 000001F2 8 10 64 00 00 00 1E 00 0C
0000.052045 00000284 8 00 00 00 00 00 00 4E D4
0000.052250 0000050C 6 00 00 00 02 B2 0D  
0000.053566 0000056E 1 46       
0000.055102 000001DB 8 00 40 BC AA 00 00 03 D4
0000.055342 000001DC 8 6E 02 0F FD 08 C0 CF A5
0000.056822 000001DA 8 BE 64 18 00 00 01 00 D7
0000.057052 0000055A 8 00 3D 31 00 5F 31 5B 68
0000.060524 0000011A 8 4E 40 00 55 40 00 02 B0
0000.061737 000001D4 8 F7 07 00 00 47 44 30 B7
0000.061983 000001F2 8 10 64 00 00 00 1E 01 0D
0000.065111 000001DB 8 00 40 BC AA 00 00 00 DE
0000.065347 000001DC 8 6E 02 0F FD 0C C8 C8 F1
0000.066816 000001DA 8 BE 64 18 00 00 01 01 52
