0000.000000 000001DB 8 FD 80 BB EA 00 00 00 15
0000.000251 000001DC 8 5D 01 CF FD 0C C8 C8 F8
0000.002412 000001DA 8 BD 64 18 00 00 01 00 DE
0000.003897 000001D4 8 F7 07 00 00 07 44 30 70
0000.004137 000001F2 8 10 64 00 00 00 1E 00 0C
0000.004383 00000284 8 00 00 00 00 00 00 22 A8
0000.009104 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.010015 000001DB 8 FD 80 BB EA 00 00 01 90
0000.010251 000001DC 8 5D 01 CF FD 01 09 05 BB
0000.012416 000001DA 8 BD 64 18 00 00 01 01 5B
0000.014080 000001D4 8 F7 07 00 00 47 44 30 B7
0000.014321 000001F2 8 10 64 00 00 00 1E 01 0D
0000.018366 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.020009 000001DB 8 FD 80 BB EA 00 00 02 9A
0000.020250 000001DC 8 5D 01 CF FD 05 60 C6 FD
0000.022411 000001DA 8 BD 64 18 00 00 01 02 51
0000.022651 0000055A 8 00 34 2E 00 5F 30 5B 68
0000.024336 000001D4 8 F7 07 00 00 87 44 30 7B
0000.024582 000001F2 8 10 64 00 00 00 1E 02 0E
0000.024822 00000284 8 00 00 00 00 00 00 23 A9
0000.025897 00000380 8 02 04 10 21 00 00 00 9E
0000.026143 000005BF 8 00 00 00 00 28 00 00 2B
0000.029113 0000011A 8 4E 40 00 55 00 00 01 7D
0000.030050 000001DB 8 FD 80 BB EA 00 00 03 1F
0000.030249 000001DC 8 5D 01 CF FD 08 C0 CF AC
0000.032410 000001DA 8 BD 64 18 00 00 01 03 D4
0000.034637 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.034878 000001F2 8 10 64 00 00 00 1E 03 0F
0000.038810 0000011A 8 4E 40 00 55 40 00 02 B0
0000.040008 000001DB 8 FD 80 BB EA 00 00 00 15
0000.040244 000001DC 8 5D 01 CF FD 0C C8 C8 F8
0000.042409 000001DA 8 BD 64 18 00 00 01 00 DE
0000.044882 000001D4 8 F7 07 00 00 07 44 30 70
0000.045118 000001F2 8 10 64 00 00 00 1E 00 0C
0000.045369 00000284 8 00 00 00 00 00 00 24 AA
0000.045574 0000050C 6 00 00 00 00 B2 A6  
0000.049117 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.050187 000001DB 8 FD 80 BB EA 00 00 01 90
0000.050432 000001DC 8 5D 01 CF FD 01 09 05 BB
0000.050673 0000055B 8 D7 00 55 00 E0 80 12 AA
0000.052404 000001DA 8 BD 64 18 00 00 01 01 5B
0000.055081 000001D4 8 F7 07 00 00 47 44 30 B7
0000.055327 000001F2 8 10 64 00 00 00 1E 01 0D
0000.058307 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.059377 0000054A 8 9E 00 70 06 27 00 00 2B
0000.060135 000001DB 8 FD 80 BB EA 00 00 02 9A
0000.060386 0000054B 8 00 78 A8 92 3C 00 00 00
0000.060616 000001DC 8 5D 01 CF FD 05 60 C6 FD
0000.061374 0000054C 8 6C 66 40 00 00 B0 58 00
0000.062377 0000054F 8 2C 01 00 00 07 CF 8C 47
0000.062618 000001DA 8 BD 64 18 00 00 01 02 51
0000.065383 000001D4 8 F7 07 00 00 87 44 30 7B
0000.065629 000001F2 8 10 64 00 00 00 1E 02 0E
0000.065920 00000284 8 00 00 00 00 00 00 25 AB
0000.066074 0000050A 6 85 12 A0 0D 80 20  
0000.069126 0000011A 8 4E 40 00 55 00 00 01 7D
0000.070016 000001DB 8 FD 80 BB EA 00 00 03 1F
0000.070262 000001DC 8 5D 01 CF FD 08 C0 CF AC
0000.070370 0000056E 1 46       
0000.072407 000001DA 8 BD 64 18 00 00 01 03 D4
0000.075551 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.075787 000001F2 8 10 64 00 00 00 1E 03 0F
0000.078818 0000011A 8 4E 40 00 55 40 00 02 B0
0000.080016 000001DB 8 FD 80 BB EA 00 00 00 15
0000.080251 000001DC 8 5D 01 CF FD 0C C8 C8 F8
0000.082397 000001DA 8 BD 64 18 00 00 01 00 DE
0000.085822 000001D4 8 F7 07 00 00 07 44 30 70
0000.086063 000001F2 8 10 64 00 00 00 1E 00 0C
0000.086308 00000284 8 00 00 00 00 00 00 26 AC
0000.086518 0000050B 6 00 00 06 C0 00 60  
0000.089124 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.090051 000001DB 8 FD 80 BB EA 00 00 01 90
0000.090256 000001DC 8 5D 01 CF FD 01 09 05 BB
0000.092401 000001DA 8 BD 64 18 00 00 01 01 5B
0000.096036 000001D4 8 F7 07 00 00 47 44 30 B7
0000.096282 000001F2 8 10 64 00 00 00 1E 01 0D
0000.098381 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.100004 000001DB 8 FD 80 BB EA 00 00 02 9A
0000.100250 000001DC 8 5D 01 CF FD 05 60 C6 FD
0000.102406 000001DA 8 BD 64 18 00 00 01 02 51
0000.106302 000001D4 8 F7 07 00 00 87 44 30 7B
0000.106548 000001F2 8 10 64 00 00 00 1E 02 0E
0000.106788 00000284 8 00 00 00 00 00 00 27 AD
0000.109133 0000011A 8 4E 40 00 55 00 00 01 7D
0000.110019 000001DB 8 FD 80 BB EA 00 00 03 1F
0000.110265 000001DC 8 5D 01 CF FD 08 C0 CF AC
0000.112400 000001DA 8 BD 64 18 00 00 01 03 D4
