0000.000000 00000603 1 00       
0000.006032 0000068C 1 00       
0000.040663 000001D4 8 A0 6D 00 00 42 00 50 FB
0000.040909 000001F2 8 08 64 00 00 00 01 01 06
0000.041160 000005A9 8 FF FF FC FF FF F0 00 00
0000.047155 0000054A 8 9E 00 70 02 00 00 00 2B
0000.048174 0000054B 8 00 08 80 00 04 00 00 00
0000.049183 0000054C 8 FF FF 00 00 00 F8 FF 00
0000.050171 0000054F 8 14 00 00 00 07 40 00 1E
0000.051001 000001D4 8 9C 6D 00 00 82 00 50 83
0000.051241 000001F2 8 08 64 00 00 00 01 02 07
0000.051451 0000050A 6 04 00 00 0D 00 20  
0000.056167 0000056E 1 46       
0000.061148 000001D4 8 9F 6D 00 00 C2 00 50 4D
0000.061384 000001F2 8 08 64 00 00 00 01 03 08
0000.071388 000001D4 8 9F 6D 00 00 02 00 50 81
0000.071639 000001F2 8 08 64 00 00 00 01 00 05
0000.071839 0000050B 6 00 00 00 C0 00 60  
0000.075664 0000011A 8 00 40 80 55 00 00 01 0D
0000.081685 000001D4 8 9F 6D 00 00 42 06 50 3E
0000.081925 000001F2 8 08 64 00 00 00 01 01 06
0000.085683 0000011A 8 00 40 80 55 40 00 02 C0
0000.091909 000001D4 8 9F 6D 00 00 82 06 70 B1
0000.092150 000001F2 8 08 64 00 00 00 02 02 08
0000.095785 0000011A 8 00 40 80 AA 80 00 03 D6
0000.102149 000001D4 8 9F 6D 00 00 C2 06 70 76
0000.102395 000001F2 8 08 64 00 00 00 02 03 09
0000.105329 0000011A 8 00 40 80 AA C0 00 00 1B
0000.112410 000001D4 8 9F 6D 00 00 02 06 70 BA
0000.112650 000001F2 8 08 64 00 00 00 02 00 06
0000.112840 000005B9 5 07 FF 07 FF 28   
0000.115789 0000011A 8 00 40 80 55 00 00 01 0D
0000.122681 000001D4 8 9F 6D 00 00 42 06 70 7D
0000.122921 000001F2 8 08 64 00 00 00 02 01 07
0000.125696 0000011A 8 01 40 80 55 40 00 02 C7
0000.132915 000001D4 8 9F 6D 00 00 82 06 70 B1
0000.133156 000001F2 8 08 64 00 00 00 02 02 08
0000.133366 0000050C 6 00 00 00 01 5D 5F  
0000.136028 000001DB 8 7F E0 FF C6 00 00 00 DE
0000.136269 0000011A 8 01 40 80 AA 80 00 03 D1
0000.136515 000001DC 8 FF FF FF FF 1F FF FC 6B
0000.140247 0000054A 8 10 00 70 02 00 00 00 2B
0000.141241 0000054B 8 00 08 80 00 04 00 00 00
0000.142249 0000054C 8 FF FF 00 00 00 F8 FF 00
0000.143237 000001D4 8 9F 6D 00 00 C2 06 70 76
0000.143473 000001F2 8 08 64 00 00 00 04 03 0B
0000.143724 0000054F 8 14 00 00 00 07 80 00 1E
0000.145398 0000011A 8 01 40 80 AA C0 00 00 1C
0000.146181 000001DB 8 FF C0 FF C6 00 00 01 80
0000.146427 000001DC 8 FF FF FF FF 01 09 05 2C
0000.153457 000001D4 8 9F 6D 00 00 02 06 70 BA
0000.153703 000001F2 8 08 64 00 00 00 04 00 08
0000.153907 0000050A 6 04 20 00 0D 00 20  
0000.156037 000001DB 8 FF C0 FF C6 00 00 02 8A
0000.156273 0000011A 8 01 40 80 55 00 00 01 0A
0000.156575 000001DC 8 FF FF FF FF 05 60 C6 6A
0000.156698 0000056E 1 46       
0000.158372 00000380 8 00 04 10 21 00 00 00 03
0000.163697 000001D4 8 9F 6D 00 00 42 06 70 7D
0000.163932 000001F2 8 08 64 00 00 00 04 01 09
0000.165735 0000011A 8 01 40 80 55 40 00 02 C7
0000.166021 000001DB 8 FF E0 FF C6 00 00 03 5E
0000.166282 000001DC 8 FF FF FF FF 08 C0 CF 3B
0000.168361 00000380 8 02 04 10 21 00 00 00 16
0000.173932 000001D4 8 9F 6D 00 00 82 06 70 B1
0000.174178 000001F2 8 08 64 00 00 00 04 02 0A
0000.174387 0000050B 6 00 00 00 C0 00 60  
0000.176041 000001DB 8 FF C0 C2 C6 00 00 00 FB
0000.176282 0000011A 8 01 40 80 AA 80 00 03 D1
0000.176522 000001DC 8 FF FF FF FF 0C C8 C8 6F
0000.184182 000001D4 8 9F 6D 00 00 C2 06 70 76
0000.184418 000001F2 8 08 64 00 00 00 04 03 0B
0000.185380 0000011A 8 01 40 80 AA C0 00 00 1C
0000.186169 000001DB 8 FF C0 C2 C6 00 00 01 7E
0000.186409 000001DC 8 FF FF FF FF 01 09 05 2C
0000.194396 000001D4 8 A0 6D 00 00 02 06 70 07
0000.194642 000001F2 8 08 64 00 00 00 04 00 08
0000.196030 000001DB 8 FF C0 C2 C6 00 00 02 74
0000.196265 0000011A 8 01 40 80 55 00 00 01 0A
0000.196511 000001DC 8 FF FF FF FF 05 60 C6 6A
0000.204652 000001D4 8 A0 6D 00 00 42 06 70 C0
0000.204898 000001F2 8 08 64 00 00 00 04 01 09
0000.205727 0000011A 8 01 40 80 55 40 00 02 C7
0000.206039 000001DB 8 FF C0 C2 C6 00 00 03 F1
0000.206531 000001DC 8 FF FF FF FF 08 C0 CF 3B
0000.214902 000001D4 8 A0 6D 00 00 82 06 70 0C
0000.215143 000001F2 8 08 64 00 00 00 04 02 0A
0000.216049 000001DB 8 FF C0 C2 C6 00 00 00 FB
0000.216284 0000011A 8 01 40 80 AA 80 00 03 D1
0000.216581 000001DC 8 FF FF FF FF 0C C8 C8 6F
0000.225168 000001D4 8 A0 6D 00 00 C2 06 70 CB
0000.225403 000001F2 8 08 64 00 00 00 04 03 0B
0000.225644 0000011A 8 01 40 80 AA C0 00 00 1C
0000.226437 000001DB 8 FF C0 C2 C6 00 00 01 7E
0000.226688 000001DC 8 FF FF FF FF 01 09 05 2C
0000.226934 0000055B 8 EB 00 AA 00 FF C0 10 FE
0000.235418 000001D4 8 A0 6D 00 00 02 06 70 07
0000.235664 000001F2 8 08 64 00 00 00 04 00 08
0000.235868 0000050C 6 00 00 00 02 5D 63  
0000.236135 0000011A 8 01 40 80 55 00 00 01 0A
0000.236370 000001DB 8 FF C0 C2 E6 00 00 02 3B
0000.236611 000001DC 8 FF FF FF FF 05 60 C6 6A
0000.240328 0000054A 8 9E 00 70 02 00 00 00 2B
0000.241331 0000054B 8 00 08 80 00 04 00 00 00
0000.242325 0000054C 8 FF FF 00 00 00 F8 FF 00
0000.243323 0000054F 8 22 00 00 00 07 C0 0C 21
0000.245694 000001D4 8 A0 6D 00 00 42 06 70 C0
0000.245934 0000011A 8 01 40 80 55 40 00 02 C7
0000.246170 000001DB 8 FF E0 C2 E6 00 00 03 EF
0000.246416 000001F2 8 08 64 00 00 00 04 01 09
0000.246707 000001DC 8 FF FF FF FF 08 C0 CF 3B
0000.248438 00000380 8 02 04 10 21 00 00 00 27
0000.248689 000005BF 8 00 00 00 00 10 00 00 00
0000.255918 000001D4 8 A0 6D 00 00 82 06 70 0C
0000.256154 0000011A 8 01 40 80 AA 80 00 03 D1
0000.256400 000001DB 8 FF E0 C2 E6 00 00 00 E5
0000.256640 000001F2 8 08 64 00 00 00 04 02 0A
0000.256876 000001DC 8 FF FF FF FF 0C C8 C8 6F
0000.257127 00000284 8 00 00 00 00 00 00 01 87
0000.257337 0000050A 6 04 40 00 0D 00 20  
0000.257449 0000056E 1 46       
0000.265370 0000011A 8 01 40 80 AA C0 00 00 1C
0000.266112 000001D4 8 A0 6D 00 00 C2 06 70 CB
0000.266353 000001DB 8 FF E0 C2 E6 00 00 01 60
0000.266594 000001F2 8 08 64 00 00 00 04 03 0B
0000.266834 000001DC 8 FF FF FF FF 01 09 05 2C
0000.276025 000001DB 8 00 00 C2 E6 00 00 02 2A
0000.276265 0000011A 8 01 40 80 55 00 00 01 0A
0000.276501 000001D4 8 A0 6D 00 00 02 06 70 07
0000.276741 000001DC 8 FF FF FF FF 05 60 C6 6A
0000.276987 000001F2 8 08 64 00 00 00 04 00 08
0000.277238 00000284 8 00 00 00 00 00 00 02 88
0000.277448 0000050B 6 00 00 00 C0 00 60  
0000.285840 0000011A 8 01 40 80 55 40 00 02 C7
0000.286075 000001DB 8 00 00 C2 E6 00 00 03 AF
0000.286321 000001DC 8 FF FF FF FF 08 C0 CF 3B
0000.286613 000001D4 8 A0 6D 00 00 42 06 70 C0
0000.286848 000001F2 8 08 64 00 00 00 04 01 09
0000.296023 000001DB 8 00 00 C2 E6 00 00 00 A5
0000.296259 0000011A 8 01 40 80 AA 80 00 03 D1
0000.296494 000001DC 8 FF FF FF FF 0C C8 C8 6F
0000.296873 000001D4 8 A0 6D 00 00 82 06 70 0C
0000.297119 000001F2 8 08 64 00 00 00 04 02 0A
0000.297360 00000284 8 00 00 00 00 00 00 03 89
0000.305444 0000011A 8 01 40 80 AA C0 00 00 1C
0000.306207 000001DB 8 00 00 C2 E6 00 00 01 20
0000.306463 000001DC 8 FF FF FF FF 01 09 05 2C
0000.307098 000001D4 8 A0 6D 00 00 C2 06 70 CB
0000.307333 000001F2 8 08 64 00 00 00 04 03 0B
0000.316027 000001DB 8 00 20 C2 E6 00 00 02 7B
0000.316263 0000011A 8 01 40 80 55 00 00 01 0A
0000.316498 000001DC 8 FF FF FF FF 05 60 C6 6A
0000.317307 000001D4 8 A0 6D 00 00 02 06 70 07
0000.317553 000001F2 8 08 64 00 00 00 04 00 08
0000.317799 00000284 8 00 00 00 00 00 00 04 8A
0000.325873 0000011A 8 01 40 80 55 40 00 02 C7
0000.326201 000001DB 8 00 20 C2 E6 00 00 03 FE
0000.326687 000001DC 8 FF FF FF FF 08 C0 CF 3B
0000.326938 0000055B 8 EB 00 55 00 FF C0 11 3C
0000.327609 000001D4 8 A0 6D 00 00 42 06 70 C0
0000.327849 000001F2 8 08 64 00 00 00 04 01 09
0000.332329 000001DA 8 FF 00 00 00 7F FE 01 97
0000.336026 000001DB 8 00 20 C2 E6 00 00 00 F4
0000.336266 0000011A 8 01 40 80 AA 80 00 03 D1
0000.336502 000001DC 8 FF FF FF FF 0C C8 C8 6F
0000.337951 000001D4 8 A0 6D 00 00 82 06 70 0C
0000.338192 000001F2 8 08 64 00 00 00 04 02 0A
0000.338442 00000284 8 00 00 00 00 00 00 05 8B
0000.338652 0000050C 6 00 00 00 03 5D F4  
0000.340414 0000054A 8 10 00 70 02 00 00 00 2B
0000.341412 0000054B 8 00 08 80 00 04 00 00 00
0000.342323 000001DA 8 FF 00 00 00 7F FE 02 9D
0000.342585 0000054C 8 FF FF 00 00 00 F8 FF 00
0000.343414 0000054F 8 22 00 00 00 07 00 0C 21
0000.345421 0000011A 8 01 40 80 AA C0 00 00 1C
0000.346179 000001DB 8 00 40 C2 E6 00 00 01 82
0000.346435 000001DC 8 FF FF FF FF 01 09 05 2C
0000.348176 000001D4 8 A0 6D 00 00 C2 06 70 CB
0000.348411 000001F2 8 08 64 00 00 00 05 03 0C
0000.348718 00000380 8 02 04 10 21 00 00 00 38
0000.348913 000005BF 8 00 00 00 00 18 00 00 19
0000.352323 000001DA 8 02 00 00 00 7F FE 03 64
0000.356030 000001DB 8 00 40 C2 E6 00 00 02 88
0000.356265 0000011A 8 01 40 80 55 00 00 01 0A
0000.356511 000001DC 8 FF FF FF FF 05 60 C6 6A
0000.356618 0000056E 1 46       
0000.358421 000001D4 8 A0 6D 00 00 02 06 70 07
0000.358661 000001F2 8 08 64 00 00 00 07 00 0B
0000.358902 00000284 8 00 00 00 00 00 00 06 8C
0000.359112 0000050A 6 04 60 00 0D 00 20  
0000.362378 000001DA 8 02 00 00 00 7F FE 00 6E
0000.365804 0000011A 8 01 40 80 55 40 00 02 C7
0000.366039 000001DB 8 00 40 C2 E6 00 00 03 0D
0000.366290 000001DC 8 FF FF FF FF 08 C0 CF 3B
0000.368620 000001D4 8 A0 6D 00 00 42 06 70 C0
0000.368866 000001F2 8 08 64 00 00 00 07 01 0C
0000.369116 00000284 8 00 00 00 00 00 00 07 8D
0000.372403 000001DA 8 02 00 00 00 7F FF 01 7C
0000.376039 000001DB 8 00 40 C2 E6 00 00 00 07
0000.376274 0000011A 8 01 40 80 AA 80 00 03 D1
0000.376510 000001DC 8 FF FF FF FF 0C C8 C8 6F
0000.378855 000001D4 8 A0 6D 00 00 82 06 70 0C
0000.379100 000001F2 8 08 64 00 00 00 07 02 0D
0000.379310 0000050B 6 00 00 00 C0 00 60  
0000.382398 000001DA 8 02 00 00 00 7F FF 02 76
0000.385465 0000011A 8 01 40 80 AA C0 00 00 1C
0000.386227 000001DB 8 00 40 C2 E6 00 00 01 82
0000.386473 000001DC 8 FF FF FF FF 01 09 05 2C
0000.389120 000001D4 8 A0 6D 00 00 C2 06 70 CB
0000.389361 000001F2 8 08 64 00 00 00 07 03 0E
0000.389612 00000284 8 00 00 00 00 00 00 08 8E
0000.392397 000001DA 8 02 00 00 00 7F FF 03 F3
0000.396032 000001DB 8 00 40 C2 EE 00 00 02 38
0000.396273 0000011A 8 01 40 80 55 00 00 01 0A
