0000.000000 000001DC 8 3C 81 6F FD 0C C8 C8 20
0000.007163 0000011A 8 01 40 00 AA C0 00 00 03
0000.007547 000001D4 8 F7 07 00 00 82 06 40 76
0000.007787 000001DA 8 01 00 00 00 00 01 01 15
0000.008038 000001F2 8 08 64 00 00 00 0A 02 00
0000.009723 000001DB 8 FF C0 BF EA 00 00 01 EA
0000.009979 000001DC 8 3C 81 6F FD 01 09 05 63
0000.011376 0000054A 8 10 00 70 06 2E 00 00 29
0000.012334 0000054B 8 00 88 98 12 04 00 00 00
0000.013342 0000054C 8 69 66 00 00 00 00 53 00
0000.014341 0000054F 8 22 01 00 00 07 00 8C 1F
0000.017633 000001DA 8 01 00 00 00 00 01 02 1F
0000.017879 000001D4 8 F7 07 00 00 C2 06 40 B1
0000.018119 0000011A 8 01 40 00 55 00 00 01 15
0000.018360 000001F2 8 08 64 00 00 00 0A 03 01
0000.018611 00000284 8 00 00 00 00 00 00 F6 7C
0000.019737 000001DB 8 FF C0 BF EA 00 00 02 E0
0000.019988 000001DC 8 3C 81 6F FD 05 60 C6 25
0000.020551 00000380 8 02 04 10 21 00 00 00 27
0000.020802 000005BF 8 00 00 00 00 18 00 00 08
0000.027627 000001DA 8 01 00 00 00 00 01 03 9A
0000.027868 0000011A 8 01 40 00 55 40 00 02 D8
0000.028108 000001D4 8 F7 07 00 00 02 06 40 7D
0000.028354 000001F2 8 08 64 00 00 00 0A 00 0E
0000.029911 000001DB 8 FF C0 BF EA 00 00 03 65
0000.030156 000001DC 8 3C 81 6F FD 08 C0 CF 74
0000.030387 0000055B 8 A1 80 AA 00 E4 C0 11 9A
0000.037632 000001DA 8 01 00 00 00 00 01 00 90
0000.037954 0000011A 8 01 40 00 AA 80 00 03 CE
0000.038343 000001D4 8 F7 07 00 00 42 06 40 BA
0000.038589 000001F2 8 08 64 00 00 00 0A 01 0F
0000.038835 00000284 8 00 00 00 00 00 00 F7 7D
0000.039746 000001DB 8 FF C0 BF EA 00 00 00 6F
0000.039992 000001DC 8 3C 81 6F FD 0C C8 C8 20
0000.047232 0000011A 8 01 40 00 AA C0 00 00 03
0000.047631 000001DA 8 01 00 00 00 00 01 01 15
0000.048542 000001D4 8 F7 07 00 00 82 06 40 76
0000.048783 000001F2 8 08 64 00 00 00 0A 02 00
0000.048993 0000050C 6 00 00 00 03 5D F4  
0000.049797 000001DB 8 FF C0 BF EA 00 00 01 EA
0000.050043 000001DC 8 3C 81 6F FD 01 09 05 63
0000.057630 000001DA 8 01 00 00 00 00 01 02 1F
