0000.000000 000001DB 8 FF E0 BF AA 00 00 02 2F
0000.000245 000001DC 8 35 01 2F FD 05 60 C6 16
0000.000650 000001D4 8 F7 07 00 00 82 00 40 0E
0000.000901 000001F2 8 0C 64 00 00 00 0A 02 04
0000.003271 0000054A 8 10 00 70 02 00 00 00 23
0000.004259 0000054B 8 01 08 80 12 04 00 00 00
0000.004495 0000011A 8 3E 40 00 AA 80 00 03 73
0000.004741 000001DA 8 01 00 00 00 00 01 01 15
0000.005227 0000054C 8 65 66 00 00 00 00 45 00
0000.006241 0000054F 8 1A 01 00 00 07 00 94 25
0000.009994 000001DB 8 FF E0 BF AA 00 00 03 AA
0000.010240 000001DC 8 35 01 2F FD 08 C0 CF 47
0000.010992 000001D4 8 F7 07 00 00 C2 00 40 C9
0000.011238 000001F2 8 0C 64 00 00 00 0A 03 05
0000.011479 00000284 8 00 00 00 00 00 00 06 8C
0000.013465 0000011A 8 3E 40 00 AA C0 00 00 BE
0000.014279 000001DA 8 01 00 00 00 00 01 02 1F
0000.014505 0000055A 8 13 27 27 00 5F 29 3A A8
0000.016824 0000056E 1 46       
0000.019998 000001DB 8 FF C0 BF AA 00 00 00 F1
0000.020244 000001DC 8 35 01 2F FD 0C C8 C8 13
0000.021135 000001D4 8 F7 07 00 00 02 00 40 05
0000.021386 000001F2 8 0C 64 00 00 00 0A 00 02
0000.024268 000001DA 8 01 00 00 00 00 01 03 9A
0000.024504 0000011A 8 3E 40 00 55 00 00 01 A8
0000.029998 000001DB 8 FF C0 BF AA 00 00 01 74
0000.030243 000001DC 8 35 01 2F FD 01 09 05 50
0000.031436 000001D4 8 F7 07 00 00 42 00 40 C2
0000.031672 000001F2 8 0C 64 00 00 00 0A 01 03
0000.031923 00000284 8 00 00 00 00 00 00 07 8D
0000.033966 0000011A 8 3E 40 00 55 40 00 02 65
0000.034268 000001DA 8 01 00 00 00 00 01 00 90
0000.039997 000001DB 8 FF C0 BF AA 00 00 02 7E
0000.040248 000001DC 8 35 01 2F FD 05 60 C6 16
0000.041646 000001D4 8 F7 07 00 00 82 00 40 0E
0000.041897 000001F2 8 0C 64 00 00 00 0A 02 04
0000.042096 0000050C 6 00 00 00 00 B2 A6  
0000.044267 000001DA 8 01 00 00 00 00 01 01 15
0000.044513 0000011A 8 3E 40 00 AA 80 00 03 73
0000.046131 00000380 8 03 04 20 21 00 00 00 3A
0000.046382 000005BF 8 00 00 00 00 30 00 00 13
0000.050007 000001DB 8 FF C0 BF AA 00 00 03 FB
