0000.000000 0000011A 8 01 40 00 55 40 00 02 D8
0000.001894 000001DB 8 FF A0 BF EA 00 00 00 9C
0000.002135 000001DC 8 3C 81 6F FD 0C C8 C8 20
0000.003865 00000380 8 02 04 10 21 00 00 00 38
0000.004096 000001D4 8 F7 07 00 00 42 06 40 BA
0000.004336 000001F2 8 08 64 00 00 00 0A 01 0F
0000.004587 00000284 8 00 00 00 00 00 00 06 8C
0000.004833 000005BF 8 00 00 00 00 18 00 00 19
0000.008079 000001DA 8 01 00 00 00 00 01 00 90
0000.008310 0000055A 8 00 2A 2B 00 5F 2D 3A C8
0000.010291 0000011A 8 01 40 00 AA 80 00 03 CE
0000.011894 000001DB 8 FF C0 BF EA 00 00 01 EA
0000.012150 000001DC 8 3C 81 6F FD 01 09 05 63
0000.014300 000001D4 8 F7 07 00 00 82 06 40 76
0000.014546 000001F2 8 08 64 00 00 00 0A 02 00
0000.014756 0000050A 6 04 10 00 0C 00 20  
0000.018140 000001DA 8 01 00 00 00 00 01 01 15
0000.019574 0000011A 8 01 40 00 AA C0 00 00 03
0000.019865 0000054A 8 9E 00 70 06 2E 00 00 29
0000.020859 0000054B 8 00 88 98 12 04 00 00 00
0000.021857 0000054C 8 69 66 00 00 00 00 53 00
0000.022098 000001DB 8 FF C0 BF EA 00 00 02 E0
0000.022338 000001DC 8 3C 81 6F FD 05 60 C6 25
0000.022866 0000054F 8 21 01 00 00 07 40 8C 1F
0000.024591 000001D4 8 F7 07 00 00 C2 06 40 B1
0000.024832 000001F2 8 08 64 00 00 00 0A 03 01
0000.025088 00000284 8 00 00 00 00 00 00 07 8D
0000.028078 000001DA 8 01 00 00 00 00 01 02 1F
0000.030310 0000011A 8 01 40 00 55 00 00 01 15
0000.032087 000001DB 8 FF C0 BF EA 00 00 03 65
0000.032322 000001DC 8 3C 81 6F FD 08 C0 CF 74
0000.032568 0000055B 8 A1 80 55 00 E5 00 11 04
0000.034785 000001D4 8 F7 07 00 00 02 06 40 7D
0000.035031 000001F2 8 08 64 00 00 00 0A 00 0E
0000.035236 0000050B 6 00 00 04 C0 00 60  
0000.038067 000001DA 8 01 00 00 00 00 01 03 9A
0000.040013 0000011A 8 01 40 00 55 40 00 02 D8
0000.041907 000001DB 8 FF C0 BF EA 00 00 00 6F
0000.042148 000001DC 8 3C 81 6F FD 0C C8 C8 20
0000.045015 000001D4 8 F7 07 00 00 42 06 40 BA
0000.045255 000001F2 8 08 64 00 00 00 0A 01 0F
0000.045506 00000284 8 00 00 00 00 00 00 08 8E
0000.048071 000001DA 8 01 00 00 00 00 01 00 90
0000.050299 0000011A 8 01 40 00 AA 80 00 03 CE
0000.051906 000001DB 8 FF C0 BF EA 00 00 01 EA
