0000.000000 000001DA 8 BC 64 18 00 00 01 00 D9
0000.000880 000001DB 8 FE 40 BB 6A 00 00 01 43
0000.001121 000001DC 8 67 01 FF FD 01 09 05 EB
0000.008181 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.009717 000001D4 8 F7 07 00 00 87 44 30 7B
0000.009953 000001DA 8 BC 64 18 00 00 01 01 5C
0000.010199 000001F2 8 10 64 00 00 00 1E 02 0E
0000.010444 00000284 8 00 00 00 00 00 00 39 BF
0000.010992 000001DB 8 FE 40 BB 6A 00 00 02 49
0000.011233 000001DC 8 67 01 FF FD 05 60 C6 AD
0000.017372 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.019911 000001DA 8 BD 64 18 00 00 01 02 51
0000.020142 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.020387 000001F2 8 10 64 00 00 00 1E 03 0F
0000.020618 0000055A 8 00 3B 2F 00 5F 31 5B 68
0000.020940 000001DB 8 FE 40 BB 6A 00 00 03 CC
0000.021186 000001DC 8 67 01 FF FD 08 C0 CF FC
0000.028195 0000011A 8 4E 40 00 55 00 00 01 7D
0000.029906 000001DA 8 BC 64 18 00 00 01 03 D3
0000.030254 000001D4 8 F7 07 00 00 07 44 30 70
0000.030494 000001F2 8 10 64 00 00 00 1E 00 0C
0000.030740 00000284 8 00 00 00 00 00 00 3A C0
0000.030853 0000056E 1 46       
0000.031093 000001DB 8 FE 40 BB 6A 00 00 00 C6
0000.031267 000005B9 5 40 5A 30 B4 28   
0000.031498 000001DC 8 67 01 FF FD 0C C8 C8 A8
0000.037888 0000011A 8 4E 40 00 55 40 00 02 B0
0000.039910 000001DA 8 BC 64 18 00 00 01 00 D9
0000.040494 000001D4 8 F7 07 00 00 47 44 30 B7
0000.040734 000001F2 8 10 64 00 00 00 1E 01 0D
0000.040965 000001DB 8 FE 40 BB 6A 00 00 01 43
0000.041344 000001DC 8 67 01 FF FD 01 09 05 EB
0000.048189 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.049904 000001DA 8 BC 64 18 00 00 01 01 5C
0000.050749 000001D4 8 F7 07 00 00 87 44 30 7B
0000.050985 000001DB 8 FE 40 BB 6A 00 00 02 49
0000.051235 000001F2 8 10 64 00 00 00 1E 02 0E
0000.051471 000001DC 8 67 01 FF FD 05 60 C6 AD
0000.051712 00000284 8 00 00 00 00 00 00 3B C1
0000.051916 0000050C 6 00 00 00 01 B2 31  
0000.057451 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.059904 000001DA 8 BC 64 18 00 00 01 02 56
0000.060871 000001DB 8 FE 40 BB 6A 00 00 03 CC
0000.061102 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.061342 000001DC 8 67 01 FF FD 08 C0 CF FC
0000.061578 000001F2 8 10 64 00 00 00 1E 03 0F
0000.063897 00000380 8 02 04 10 21 00 00 00 AF
0000.064143 000005BF 8 00 00 00 00 28 00 00 3C
0000.068203 0000011A 8 4E 40 00 55 00 00 01 7D
0000.069898 000001DA 8 BC 64 18 00 00 01 03 D3
0000.070871 000001DB 8 FE 40 BB 6A 00 00 00 C6
0000.071106 000001DC 8 67 01 FF FD 0C C8 C8 A8
0000.071342 000001D4 8 F7 07 00 00 07 44 30 70
0000.071587 000001F2 8 10 64 00 00 00 1E 00 0C
0000.071828 00000284 8 00 00 00 00 00 00 3C C2
0000.072028 0000050A 6 85 32 A0 0E 80 20  
0000.077895 0000011A 8 4E 40 00 55 40 00 02 B0
0000.079902 000001DA 8 BC 64 18 00 00 01 00 D9
0000.081049 000001DB 8 FE 40 BB 6A 00 00 01 43
0000.081295 000001DC 8 67 01 FF FD 01 09 05 EB
0000.081520 000001D4 8 F7 07 00 00 47 44 30 B7
0000.081766 000001F2 8 10 64 00 00 00 1E 01 0D
0000.081996 0000055B 8 B2 C0 55 00 E0 C0 10 65
0000.084899 0000054A 8 10 00 70 06 27 00 00 2C
0000.085888 0000054B 8 00 48 98 12 1C 00 00 00
0000.086881 0000054C 8 74 66 40 00 00 58 59 00
0000.087900 0000054F 8 38 01 00 00 07 8C 8A 62
0000.088202 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.089902 000001DA 8 BC 64 18 00 00 01 01 5C
0000.091192 000001DB 8 FE 60 BB 6A 00 00 02 18
0000.091427 000001DC 8 67 01 FF FD 05 60 C6 AD
0000.091673 000005BC 8 1A 40 09 33 64 46 40 5A
0000.091909 000001D4 8 F7 07 00 00 87 44 30 7B
0000.092155 000001F2 8 10 64 00 00 00 1E 02 0E
0000.092400 00000284 8 00 00 00 00 00 00 3D C3
0000.092605 0000050B 6 00 00 06 C0 00 60  
0000.092846 000005C0 8 40 68 6A F7 3A 08 00 00
0000.097423 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.099901 000001DA 8 BC 64 18 00 00 01 02 56
0000.100874 000001DB 8 FE 60 BB 6A 00 00 03 9D
0000.101115 000001DC 8 67 01 FF FD 08 C0 CF FC
0000.101990 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.102231 000001F2 8 10 64 00 00 00 1E 03 0F
0000.108211 0000011A 8 4E 40 00 55 00 00 01 7D
0000.109900 000001DA 8 BC 64 18 00 00 01 03 D3
0000.110853 000001DB 8 FE 60 BB 6A 00 00 00 97
0000.111099 000001DC 8 67 01 FF FD 0C C8 C8 A8
0000.112179 000001D4 8 F7 07 00 00 07 44 30 70
0000.112425 000001F2 8 10 64 00 00 00 1E 00 0C
0000.112670 00000284 8 00 00 00 00 00 00 3E C4
0000.117913 0000011A 8 4E 40 00 55 40 00 02 B0
0000.119900 000001DA 8 BC 64 18 00 00 01 00 D9
0000.120130 0000055A 8 00 3B 2F 00 5F 31 5B 68
0000.120903 000001DB 8 FE 60 BB 6A 00 00 01 12
0000.121144 000001DC 8 67 01 FF FD 01 09 05 EB
0000.122414 000001D4 8 F7 07 00 00 47 44 30 B7
0000.122659 000001F2 8 10 64 00 00 00 1E 01 0D
0000.128204 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.129894 000001DA 8 BC 64 18 00 00 01 01 5C
0000.130544 0000056E 1 46       
0000.130867 000001DB 8 FE 60 BB 6A 00 00 02 18
0000.131107 000001DC 8 67 01 FF FD 05 60 C6 AD
0000.132674 000001D4 8 F7 07 00 00 87 44 30 7B
0000.132915 000001F2 8 10 64 00 00 00 1E 02 0E
0000.133161 00000284 8 00 00 00 00 00 00 3F C5
