0000.000000 000001D4 8 F7 07 00 00 87 44 30 7B
0000.000246 000001F2 8 10 64 00 00 00 1E 02 0E
0000.003288 000001DA 8 BC 64 18 00 00 01 02 56
0000.003523 0000055A 8 00 38 2F 00 5F 30 5B 68
0000.004429 000001DB 8 FD A0 BA AA 00 00 01 A8
0000.004670 000001DC 8 5E 81 EF FD 01 09 05 D7
0000.004911 0000011A 8 4E 40 00 55 40 00 02 B0
0000.010317 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.010563 000001F2 8 10 64 00 00 00 1E 03 0F
0000.010809 00000284 8 00 00 00 00 00 00 08 8E
0000.012749 0000054A 8 10 00 70 06 27 00 00 2C
0000.013287 000001DA 8 BC 64 18 00 00 01 03 D3
0000.013763 0000054B 8 00 48 98 12 24 00 00 00
0000.014541 000001DB 8 FD C0 BA AA 00 00 02 51
0000.014782 0000054C 8 6D 66 40 00 00 68 58 00
0000.015012 000001DC 8 5E 81 EF FD 05 60 C6 91
0000.015248 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.015739 0000054F 8 31 01 00 00 07 0E 8A 56
0000.016722 0000056E 1 46       
0000.020598 000001D4 8 F7 07 00 00 07 44 30 70
0000.020844 000001F2 8 10 64 00 00 00 1E 00 0C
0000.021044 0000050C 6 00 00 00 02 5D 63  
0000.023286 000001DA 8 BC 64 18 00 00 01 00 D9
0000.024315 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.024551 000001DB 8 FD C0 BA AA 00 00 03 D4
0000.024797 00000380 8 02 04 10 21 00 00 00 9E
0000.025032 000001DC 8 5E 81 EF FD 08 C0 CF C0
0000.025278 000005BF 8 00 00 00 00 28 00 00 2B
0000.030787 000001D4 8 F7 07 00 00 47 44 30 B7
0000.031028 000001F2 8 10 64 00 00 00 1E 01 0D
0000.031273 00000284 8 00 00 00 00 00 00 09 8F
0000.033286 000001DA 8 BC 64 18 00 00 01 01 5C
0000.034438 000001DB 8 FD C0 BA AA 00 00 00 DE
0000.034688 000001DC 8 5E 81 EF FD 0C C8 C8 94
0000.035062 0000011A 8 4E 40 00 55 00 00 01 7D
0000.040996 000001D4 8 F7 07 00 00 87 44 30 7B
0000.041237 000001F2 8 10 64 00 00 00 1E 02 0E
0000.041437 0000050A 6 85 52 A0 0D 80 20  
0000.043285 000001DA 8 BC 64 18 00 00 01 02 56
0000.044621 000001DB 8 FD E0 BA AA 00 00 01 0A
0000.044862 0000011A 8 4E 40 00 55 40 00 02 B0
0000.045103 000001DC 8 5E 81 EF FD 01 09 05 D7
0000.045333 0000055B 8 C7 40 AA 00 D3 C0 10 96
0000.051288 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.051528 000001F2 8 10 64 00 00 00 1E 03 0F
0000.051774 00000284 8 00 00 00 00 00 00 0A 90
0000.053279 000001DA 8 BC 64 18 00 00 01 03 D3
0000.054441 000001DB 8 FD E0 BA EA 00 00 02 9E
0000.054677 000001DC 8 5E 81 EF FD 05 60 C6 91
0000.055061 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.061476 000001D4 8 F7 07 00 00 07 44 30 70
0000.061727 000001F2 8 10 64 00 00 00 1E 00 0C
0000.061927 0000050B 6 00 00 06 C0 00 60  
0000.063284 000001DA 8 BC 64 18 00 00 01 00 D9
0000.064287 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.064518 000001DB 8 FD E0 BA EA 00 00 03 1B
0000.064758 000001DC 8 5E 81 EF FD 08 C0 CF C0
0000.071742 000001D4 8 F7 07 00 00 47 44 30 B7
0000.071977 000001F2 8 10 64 00 00 00 1E 01 0D
0000.072228 00000284 8 00 00 00 00 00 00 0B 91
0000.073278 000001DA 8 BC 64 18 00 00 01 01 5C
0000.074445 000001DB 8 FE 00 BA EA 00 00 00 2A
0000.074676 000001DC 8 5E 81 EF FD 0C C8 C8 94
0000.075075 0000011A 8 4E 40 00 55 00 00 01 7D
0000.081977 000001D4 8 F7 07 00 00 87 44 30 7B
0000.082223 000001F2 8 10 64 00 00 00 1E 02 0E
0000.083282 000001DA 8 BC 64 18 00 00 01 02 56
0000.084429 000001DB 8 FE 00 BA EA 00 00 01 AF
0000.084675 000001DC 8 5E 81 EF FD 01 09 05 D7
0000.084911 0000011A 8 4E 40 00 55 40 00 02 B0
0000.092258 000001D4 8 F7 07 00 00 C7 44 30 BC
0000.092493 000001F2 8 10 64 00 00 00 1E 03 0F
0000.092739 00000284 8 00 00 00 00 00 00 0C 92
0000.093277 000001DA 8 BC 64 18 00 00 01 03 D3
0000.094434 000001DB 8 FE 20 BA EA 00 00 02 F4
0000.094680 000001DC 8 5E 81 EF FD 05 60 C6 91
0000.095069 0000011A 8 4E 40 00 AA 80 00 03 A6
0000.102436 000001D4 8 F7 07 00 00 07 44 30 70
0000.102677 000001F2 8 10 64 00 00 00 1E 00 0C
0000.103281 000001DA 8 BC 64 18 00 00 01 00 D9
0000.103517 0000055A 8 00 38 2F 00 5F 30 5B 68
0000.104331 0000011A 8 4E 40 00 AA C0 00 00 6B
0000.104566 000001DB 8 FE 20 BA EA 00 00 03 71
0000.104807 000001DC 8 5E 81 EF FD 08 C0 CF C0
0000.112753 000001D4 8 F7 07 00 00 47 44 30 B7
0000.112989 000001F2 8 10 64 00 00 00 1E 01 0D
