0000.000000 00000286 5 00 40 84 36 00   
0000.000758 00000280 8 03 00 00 00 00 00 00 00
0000.000994 000001C6 8 7F FF FF FE 72 29 01 DE
0000.001214 000001CB 7 00 00 00 00 10 01 C3 
0000.001465 000002DE 8 00 00 00 00 00 00 01 28
0000.003589 00000174 8 00 00 00 AA 09 00 00 00
0000.003830 00000176 7 00 00 00 00 00 00 09 
0000.004091 00000180 8 00 00 00 00 00 00 29 00
0000.004286 000001D5 5 00 00 00 01 D7   
0000.004460 00000260 4 90 C8 7D 00    
0000.005320 00000002 5 A8 FF 00 07 63   
0000.006390 00000215 6 FF F0 FF 00 FF FF  
0000.006666 00000216 2 42 64      
0000.009375 000001CF 8 FF 32 FF FE 08 00 29 2F
0000.009616 00000245 8 7F E8 02 18 00 00 7F E2
0000.009856 00000292 8 80 F7 F0 7F C0 00 14 02
0000.010107 00000354 8 00 00 00 00 00 08 04 00
0000.010737 000002DE 8 00 00 00 00 00 00 01 28
0000.010967 000001CB 7 00 00 00 00 10 02 C9 
0000.011198 000001C6 8 7F FF FF FE 72 29 02 DF
0000.012447 00000300 1 00       
0000.013118 0000035D 8 80 03 00 00 00 00 00 00
0000.013568 00000174 8 00 00 00 AA 0A 00 00 00
0000.013809 00000176 7 00 00 00 00 00 00 0A 
0000.014065 00000180 8 00 00 00 00 00 00 2A 00
0000.014259 000001D5 5 00 00 00 02 D8   
0000.015386 00000002 5 A8 FF 00 07 14   
0000.019318 000001CF 8 FF 32 FF FE 08 00 2A 30
0000.019564 00000284 8 00 00 00 00 00 00 3A C0
0000.019810 00000285 8 00 00 00 00 00 00 3A C1
0000.019994 00000286 5 00 80 84 36 00   
0000.020752 00000280 8 03 00 00 00 00 00 00 00
0000.020997 000002DE 8 00 00 00 00 00 00 01 28
0000.021238 000001C6 8 7F FF FF FE 72 29 03 E0
0000.021468 000001CB 7 00 00 00 00 10 03 4C 
0000.021714 00000355 8 00 00 00 00 00 00 40 00
0000.023573 00000174 8 00 00 00 AA 0B 00 00 00
0000.023813 00000176 7 00 00 00 00 00 00 0B 
0000.024064 00000180 8 00 00 00 00 00 00 2B 00
0000.024264 000001D5 5 00 00 00 03 D9   
0000.024433 00000260 4 90 C8 7D 00    
0000.025319 00000002 5 A8 FF 00 07 05   
0000.026404 00000215 6 FF F0 FF 00 FF FF  
0000.026670 00000216 2 42 64      
0000.029322 000001CF 8 FF 32 FF FE 08 00 2B 31
0000.029558 00000245 8 7F E8 02 18 00 00 7F E3
0000.029799 00000292 8 80 F7 F1 7F C0 00 14 03
0000.030751 000002DE 8 00 00 00 00 00 00 01 28
0000.030992 000001C6 8 7F FF FF FE 72 29 00 DD
0000.031222 000001CB 7 00 00 00 00 10 00 46 
0000.032476 000005E4 3 00 00 00     
0000.032589 00000300 1 00       
0000.033593 00000174 8 00 00 00 AA 0C 00 00 00
0000.033833 00000176 7 00 00 00 00 00 00 0C 
0000.034094 00000180 8 00 00 00 00 00 00 2C 00
0000.034284 000001D5 5 00 00 00 00 D6   
0000.035323 00000002 5 A8 FF 00 07 36   
0000.035554 00000385 8 1A 00 AB AD 00 00 C0 66
0000.036869 0000056E 4 46 00 00 00    
0000.039296 000001CF 8 FF 32 FF FE 08 00 28 2E
0000.039542 00000284 8 00 00 00 00 00 00 3B C1
0000.039783 00000285 8 00 00 00 00 00 00 3B C2
0000.039962 00000286 5 00 C0 84 36 00   
0000.040766 00000280 8 03 00 00 00 00 00 00 00
0000.041001 000001C6 8 7F FF FF FE 72 29 01 DE
0000.041226 000001CB 7 00 00 00 00 10 01 C3 
0000.041472 000002DE 8 00 00 00 00 00 00 01 28
0000.043075 0000060D 8 06 06 00 00 00 00 00 00
0000.043638 00000174 8 00 00 00 AA 0D 00 00 00
0000.043874 00000176 7 00 00 00 00 00 00 0D 
0000.044124 00000180 8 00 00 00 00 00 00 2D 00
0000.044324 000001D5 5 00 00 00 01 D7   
0000.044498 00000260 4 90 C8 7D 00    
0000.044652 00000421 3 08 00 00     
0000.045389 00000002 5 A8 FF 00 07 27   
0000.046055 00000747 8 02 21 00 00 00 00 00 00
0000.046418 00000215 6 FF F0 FF 00 FF FF  
0000.046705 00000216 2 42 64      
0000.049337 000001CF 8 FF 32 FF FE 08 00 29 2F
0000.049577 00000245 8 7F E8 02 18 00 00 7F E0
0000.049813 00000292 8 80 C7 F3 7F C0 00 14 00
0000.050064 00000354 8 00 00 00 00 00 10 04 00
0000.050791 000002DE 8 00 00 00 00 00 00 01 28
0000.051134 000001CB 7 00 00 00 00 10 02 C9 
0000.051323 000001C6 8 7F FF FF FE 72 29 02 DF
0000.052439 00000300 1 00       
0000.053054 00000358 8 00 0A 80 00 80 00 00 00
0000.053561 0000050A 8 85 12 A0 0C 80 21 04 00
0000.053817 00000174 8 00 00 00 AA 0E 00 00 00
0000.054032 0000002A 6 00 00 00 00 00 04  
0000.054257 00000176 7 00 00 00 00 00 00 0E 
0000.054513 00000180 8 00 00 00 00 00 00 2E 00
0000.054713 000001D5 5 00 00 00 02 D8   
0000.055327 00000002 5 A8 FF 00 07 D8   
0000.059331 000001CF 8 FF 32 FF FE 08 00 2A 30
0000.059582 00000284 8 00 00 00 00 00 00 3C C2
0000.059827 00000285 8 00 00 00 00 00 00 3C C3
0000.060012 00000286 5 00 00 84 36 00   
0000.060785 00000280 8 03 00 00 00 00 00 00 00
0000.061031 000002DE 8 00 00 00 00 00 00 01 28
0000.061271 000001C6 8 7F FF FF FE 72 29 03 E0
0000.061497 000001CB 7 00 00 00 00 10 03 4C 
0000.061747 00000355 8 00 00 00 00 00 00 40 00
0000.061922 000004F2 4 00 00 00 00    
0000.063033 00000351 8 00 00 00 00 00 00 42 02
0000.063637 00000174 8 00 00 00 AA 0F 00 00 00
0000.063872 00000176 7 00 00 00 00 00 00 0F 
0000.064128 00000180 8 00 00 00 00 00 00 2F 00
0000.064328 000001D5 5 00 00 00 03 D9   
0000.064497 00000260 4 90 C8 7D 00    
